Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Akanthomyces lecanii	RCEF6920	CoAlRCEF6920	OR506462	24577	27.12	Y	https://www.ncbi.nlm.nih.gov/nuccore/OR506462.1	Chang X, Wang T, Li Z, et al. Sequence characteristics and phylogenetic relationship of the mitochondrial genome of Akanthomyces lecanii. Microbiology China, 2024,51(8):3103-3118.	10.13344/j.microbiol.china.230881(中文)	 --
Akanthomyces lecanii	RCEF 1005	CoAlRCEF1005	MN904747	24643	27.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN904747.1	Zhang YJ, Yang XB, Zhang S. Complete mitogenome of the entomopathogenic fungus Akanthomyces lecanii. Mitochondrial DNA B Resour. 2020,5(1):1021-1022.	https://doi.org/10.1080/23802359.2020.1721349	 --
Beauveria amorpha	 --	CoBaNC_066449	NC_066449	32316	26.95	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_066449.1	 --	 --	 --
Beauveria amorpha	GYU-BMZ02	CoBaGYU-BMZ02	OM782664	32316	26.95	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782664.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria amorpha	GYU-BMZ01	CoBaGYU-BMZ01	OM782663	32316	26.95	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782663.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria bassiana	 --	CoBbNC_010652	NC_010652	29961	27.25	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_010652.2	The analysis of complete mitochondrial sequence of entomopathogenic fungus Beauveria bassiana	 --	 --
Beauveria bassiana	 --	CoBbEU371503	EU371503.2	29961	27.25	Y	https://www.ncbi.nlm.nih.gov/nuccore/EU371503.2	The analysis of complete mitochondrial sequence of entomopathogenic fungus Beauveria bassiana	 --	 --
Beauveria bassiana	k4	CoBbk4	KT201148.1	28816	27.09	Y	https://www.ncbi.nlm.nih.gov/nuccore/KT201148.1	Glare T, Campbell M, Biggs P, et al. Mitochondrial evolution in the entomopathogenic fungal genus Beauveria. Arch Insect Biochem Physiol. 2020,105(4):e21754.	https://doi.org/10.1002/arch.21754	 --
Beauveria bassiana	 --	CoBbKU869769	KU869769.1	29922	27.26	Y	https://www.ncbi.nlm.nih.gov/nuccore/KU869769.1	 --	 --	 --
Beauveria bassiana	ARSEF 8028	CoBbARSEF8028	OM782670	31240	27.08	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782670.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
Beauveria bassiana	GYU-BMZ04	CoBbGYU-BMZ04	OM782669	29968	27.22	Y	https://www.ncbi.nlm.nih.gov/nuccore/OM782669.1	Bai Y, Gao X, Wang H, et al. Comparative mitogenome analysis reveals mitochondrial genome characteristics in eight strains of Beauveria. PeerJ. 2022,10:e14067.	https://doi.org/10.7717/peerj.14067	 --
