Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Claviceps purpurea	37016	ClCp37016	PV658282.1	48915	35.05	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV658282.1	 --	 --	 --
Claviceps purpurea	D48	ClCpD48	PV658281.1	51342	35.23	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV658281.1	 --	 --	 --
Claviceps purpurea	D11	ClCpD11	PV650928.1	49617	35.04	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV650928.1	 --	 --	 --
Claviceps purpurea	D6	ClCpD6	PV640608.1	46851	34.91	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV640608.1	 --	 --	 --
Claviceps purpurea	LM60	ClCpLM60	PV743142.1	50493	34.95	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV743142.1	 --	 --	 --
Claviceps purpurea	37007	ClCp37007	PV738934.1	51121	34.86	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV738934.1	 --	 --	 --
Claviceps purpurea	ACCC	ClCpACCC	PV718106.1	47425	35.2	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV718106.1	 --	 --	 --
Claviceps purpurea	 --	ClCpPV698189	PV698189.1	48737	35.11	Y	https://www.ncbi.nlm.nih.gov/nuccore/PV698189.1	 --	 --	 --
Epichloe amarillans	NFe708	ClEaNFe708	NC_072713.1	109050	27.74	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072713.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe amarillans	NFE708	ClEaNFE708	CP099640.1	109051	27.74	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP099640.1	Genome sequences of Epichloe canadensis and its haploid parents	 --	 --
Epichloe baconii	E357	ClEbE357	CP097909.1	55086	26.99	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP097909.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe brachyelytri	E1124	ClEbE1124	CP097982.1	111538	28.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP097982.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe bromicola	NFe1	ClEbNFe1	OQ121965.1	75030	27.33	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121965.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe bromicola	E7626	ClEbE7626	OQ121968.1	75023	27.33	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121968.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe bromicola	NFe9	ClEbNFe9	OQ121967.1	76467	27.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121967.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe bromicola	NFe7	ClEbNFe7	OQ121966.1	76488	27.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ121966.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
Epichloe bromicola	Nfe1	ClEbNfe1	CP098272.1	75007	27.33	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP098272.1	Quenu M, Treindl AD, Lee K, et al. Telomere-to-Telomere Genome Sequences across a Single Genus Reveal Highly Variable Chromosome Rearrangement Rates but Absolute Stasis of Chromosome Number. J Fungi (Basel). 2022,8(7):670.	https://doi.org/10.3390/jof8070670	 --
Epichloe cabralii	NFe77	ClEcNFe77	NC_072715.1	85892	26.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_072715.1	Chan J, Truglio M, Schardl CL, et al. An Alternative Self-Splicing Intron Lifecycle Revealed by Dynamic Intron Turnover in Epichloë Endophyte Mitochondrial Genomes. Mol Biol Evol. 2025,42(4):msaf076.	https://doi.org/10.1093/molbev/msaf076	 --
