Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Calonectria ilicicola	FJLY41	NeCiFJLY41	NC_046826.1	39891	28.48	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_046826.1	Gai YP, Pan RQ, Peng XJ. A phylogenomic tree of fungi: evolutionary relationships among Calonectria ilicicola and 586 fungal mitochondrial genomes. Mitochondrial DNA Part B. 2020,5(2):1709–1711.	https://doi.org/10.1080/23802359.2020.1749163	 --
Calonectria ilicicola	JXLN31	NeCiJXLN31	MT118659.1	46105	28.98	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT118659.1	Gai YP, Pan RQ, Peng XJ. A phylogenomic tree of fungi: evolutionary relationships among Calonectria ilicicola and 586 fungal mitochondrial genomes. Mitochondrial DNA Part B. 2020,5(2):1709–1711.	https://doi.org/10.1080/23802359.2020.1749163	 --
Calonectria ilicicola	ZJHZ01	NeCiZJHZ01	MT118658.1	64421	28.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT118658.1	Gai YP, Pan RQ, Peng XJ. A phylogenomic tree of fungi: evolutionary relationships among Calonectria ilicicola and 586 fungal mitochondrial genomes. Mitochondrial DNA Part B. 2020,5(2):1709–1711.	https://doi.org/10.1080/23802359.2020.1749163	 --
Calonectria ilicicola	GDBL60	NeCiGDBL60	MT118657.1	60843	28.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT118657.1	Gai YP, Pan RQ, Peng XJ. A phylogenomic tree of fungi: evolutionary relationships among Calonectria ilicicola and 586 fungal mitochondrial genomes. Mitochondrial DNA Part B. 2020,5(2):1709–1711.	https://doi.org/10.1080/23802359.2020.1749163	 --
Calonectria ilicicola	GDBL02	NeCiGDBL02	MT118656.1	41187	28.4	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT118656.1	Gai YP, Pan RQ, Peng XJ. A phylogenomic tree of fungi: evolutionary relationships among Calonectria ilicicola and 586 fungal mitochondrial genomes. Mitochondrial DNA Part B. 2020,5(2):1709–1711.	https://doi.org/10.1080/23802359.2020.1749163	 --
Fusarium acaciae-mearnsii	CBS110253	NeFaCBS110253	NC_063715.1	101777	31.73	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063715.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium acaciae-mearnsii	CBS123662	NeFaCBS123662	MW182649.1	102172	31.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182649.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium acaciae-mearnsii	CBS110255	NeFaCBS110255	MW182648.1	99430	31.83	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182648.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium acutatum	CBS 402.97	NeFaCBS402.97	MT010914.1	51666	32.25	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010914.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium aethiopicum	CBS123667	NeFaCBS123667	NC_063716.1	98773	31.63	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063716.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
