Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete	Download	Reference	Refenence_link	Note.
Acremonium chrysogenum	 -- 	BiAcNC_023268	NC_023268.1	27266	26.54	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_023268.1	 --	 --	 --
Acremonium fuci	3a34 culture-collection VKM:F-4473	BiAf3a34VKMF-4473	NC_029851.1	24565	28.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_029851.1	Konovalova O, Logacheva M. Mitochondrial genome of two marine fungal species. Mitochondrial DNA Part A. 2015,27(6):4280–4281.	https://doi.org/10.3109/19401736.2015.1082094	 --
Clonostachys byssicola	 --	BiCbOQ205181	OQ205181.2	51551	28.52	Y	https://www.ncbi.nlm.nih.gov/nuccore/OQ205181.2	Oh SY. The complete mitochondrial genome of Clonostachys farinosa (Bionectriaceae, Hypocreales). Mitochondrial DNA B Resour. 2024,9(5):583-587.	https://doi.org/10.1080/23802359.2024.2347510	 --
Clonostachys compactiuscula	 --	BiCcMW030498	MW030498.1	38473	26.83	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW030498.1	Zhao Z, Zhu K, Tang D, et al. Comparative Analysis of Mitochondrial Genome Features among Four Clonostachys Species and Insight into Their Systematic Positions in the Order Hypocreales. Int J Mol Sci. 2021,22(11):5530.	https://doi.org/10.3390/ijms22115530	 --
Clonostachys rogersoniana	 --	BiCrMW030499	MW030499.1	42075	25.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW030499.1	Zhao Z, Zhu K, Tang D, et al. Comparative Analysis of Mitochondrial Genome Features among Four Clonostachys Species and Insight into Their Systematic Positions in the Order Hypocreales. Int J Mol Sci. 2021,22(11):5530.	https://doi.org/10.3390/ijms22115530	 --
Clonostachys rosea	6792	BiCr6792	NC_036667.1	40921	27.9	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_036667.1	Wang XC, Zeng ZQ, Zhuang WY. The complete mitochondrial genome of the important mycoparasite Clonostachys rosea (Hypocreales, Ascomycota). Mitochondrial DNA Part B. 2017,2(1):180–181.	https://doi.org/10.1080/23802359.2017.1303344	 --
Emericellopsis sp.	1a5	BiEs1a5	KR864756.1	24951	28.7	Y	https://www.ncbi.nlm.nih.gov/nuccore/KR864756.1	Konovalova O, Logacheva M. Mitochondrial genome of two marine fungal species. Mitochondrial DNA Part A. 2015,27(6):4280–4281.	https://doi.org/10.3109/19401736.2015.1082094	 --
Hapsidospora chrysogena	RNCM 408D	BiHcRNCM408D	CM099553.1	27368	26.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM099553.1	Zhgun AA. Comparative Genomic Analysis Reveals Key Changes in the Genome of Acremonium chrysogenum That Occurred During Classical Strain Improvement for Production of Antibiotic Cephalosporin C. Int J Mol Sci. 2024,26(1):181. 	https://doi.org/10.3390/ijms26010181	 --
