Species	Strains	Abbreviation	Genome_size	Accession	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Cladobotryum mycophilum	 --	HyCmNC_054243	78529	NC_054243.1	27.26	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_054243.1	Chen C, Wang J, Fu R, et al. The complete mitochondrial genome of Cladobotryum mycophilum (Hypocreales: Sordariomycetes). Mitochondrial DNA B Resour. 2020,5(3):2595-2596.	https://doi.org/10.1080/23802359.2020.1742600	 --
Cladobotryum mycophilum	ATHUM8001	HyCmATHUM8001	76524	OP928225.1	27.32	Y	https://www.ncbi.nlm.nih.gov/nuccore/OP928225.1	 --	 --	 --
Cladobotryum mycophilum	ATHUM6906	HyCmATHUM6906	76524	CM071593.1 	27.32	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM071593.1	Christinaki AC, Myridakis AI, Kouvelis VN. Genomic insights into the evolution and adaptation of secondary metabolite gene clusters in fungicolous species Cladobotryum mycophilum ATHUM6906. G3 (Bethesda). 2024,14(4):jkae006.	https://doi.org/10.1093/g3journal/jkae006	 --
Hypocrea jecorina	 --	HyHjAF447590	42130	AF447590.1	27.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/AF447590.1	Chambergo FS, Bonaccorsi ED, Ferreira AJ, et al. Elucidation of the metabolic fate of glucose in the filamentous fungus Trichoderma reesei using expressed sequence tag (EST) analysis and cDNA microarrays. J Biol Chem. 2002,277(16):13983-13988.	https://doi.org/10.1074/jbc.M107651200	 --
Hypomyces aurantius	 --	HyHaNC_030206	71638	NC_030206.1	28.31	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_030206.1	 --	https://doi.org/10.13346/j.mycosystema.140248	 --
Trichoderma afroharzianum	 --	HyTaNC_065768	29517	NC_065768.1	27.62	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_065768.1	ÖZKALEKAYA E, DOĞAN Ö, BUDAK M, et al. An insight into mitochondrial genomes of Trichoderma afroharzianum strains: a comparative and evolutionary analysis. 2022,PREPRINT (Version 1).	https://doi.org/10.21203/rs.3.rs-2132004/v1	 --
Trichoderma afroharzianum	 --	HyTaON764439	29511	ON764439.1	27.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/ON764439.1	ÖZKALEKAYA E, DOĞAN Ö, BUDAK M, et al. An insight into mitochondrial genomes of Trichoderma afroharzianum strains: a comparative and evolutionary analysis. 2022,PREPRINT (Version 1).	https://doi.org/10.21203/rs.3.rs-2132004/v1	 --
Trichoderma afroharzianum	 --	HyTaON764438	29511	ON764438.1	27.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/ON764438.1	ÖZKALEKAYA E, DOĞAN Ö, BUDAK M, et al. An insight into mitochondrial genomes of Trichoderma afroharzianum strains: a comparative and evolutionary analysis. 2022,PREPRINT (Version 1).	https://doi.org/10.21203/rs.3.rs-2132004/v1	 --
Trichoderma afroharzianum	YN065	HyTaYN065	30407	PP952384.1	27.24	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952384.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
Trichoderma asperelloides	ZJ116	HyTaZJ116	29700	PP952381.1	27.9	Y	https://www.ncbi.nlm.nih.gov/nuccore/PP952381.1	Wang X, Wang Z, Yang F, et al. Assembly, Annotation, and Comparative Analysis of Mitochondrial Genomes in Trichoderma. Int J Mol Sci. 2024,25(22):12140.	https://doi.org/10.3390/ijms252212140	 --
