Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note
Drechmeria coniospora	ATCC 96282	OpDcATCC96282	CM038151.1	30176	26.29	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM038151.1	Lebrigand K, He LD, Thakur N, et al. Comparative Genomic Analysis of Drechmeria coniospora Reveals Core and Specific Genetic Requirements for Fungal Endoparasitism of Nematodes. PLoS Genet. 2016,12(5):e1006017.	https://doi.org/10.1371/journal.pgen.1006017	 --
Hirsutella minnesotensis	3608	OpHm3608	NC_027660.1	52245	28.42	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_027660.1	Zhang YJ, Zhang S, Liu XZ. The complete mitochondrial genome of the nematode endoparasitic fungus Hirsutella minnesotensis. Mitochondrial DNA A DNA Mapp Seq Anal. 2016,27(4):2693-2694.	https://doi.org/10.3109/19401736.2015.1046126	 --
Hirsutella rhossiliensis	USA-87-5	OpHrUSA-87-5	NC_030164.1	62483	28.21	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_030164.1	Yan QQ, Liu XZ, Zhang YJ. Reanalysis of the mitochondrial genome of the nematophagous fungus Hirsutella rhossiliensis. Acta Microbiologica Sinica, 2019,59(2):280-290	10.13343/j.cnki.wsxb.20180130	 --
Hirsutella rhossiliensis	HR02	OpHrHR02	CM035445.1	62947	28.3	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM035445.1	Sun X, Liao J, Lu J, et al. Parasitism of Hirsutella rhossiliensis on Different Nematodes and Its Endophytism Promoting Plant Growth and Resistance against Root-Knot Nematodes. J Fungi (Basel). 2024,10(1):68.	https://doi.org/10.3390/jof10010068	 --
Hirsutella rhossiliensis	OWVT-1	OpHrOWVT-1	MG979071.1	62949	28.29	Y	https://www.ncbi.nlm.nih.gov/nuccore/MG979071.1	Yan QQ, Liu XZ, Zhang YJ. Reanalysis of the mitochondrial genome of the nematophagous fungus Hirsutella rhossiliensis. Acta Microbiologica Sinica, 2019,59(2):280-290	10.13343/j.cnki.wsxb.20180130	 --
Hirsutella thompsonii	ARSEF 9457	OpHtARSEF9457	NC_040165.1	62509	29.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_040165.1	Wang L, Zhang S, Li JH, et al. Mitochondrial genome, comparative analysis and evolutionary insights into the entomopathogenic fungus Hirsutella thompsonii. Environ Microbiol. 2018,20(9):3393-3405.	https://doi.org/10.1111/1462-2920.14379	 --
Hirsutella thompsonii	ARSEF 1947	OpHtARSEF1947	MH367296.1	65332	30.28	Y	https://www.ncbi.nlm.nih.gov/nuccore/MH367296.1	Wang L, Zhang S, Li JH, et al. Mitochondrial genome, comparative analysis and evolutionary insights into the entomopathogenic fungus Hirsutella thompsonii. Environ Microbiol. 2018,20(9):3393-3405.	https://doi.org/10.1111/1462-2920.14379	 --
Hirsutella thompsonii	ARSEF 137	OpHtARSEF137	MH367295.1	60362	30.01	Y	https://www.ncbi.nlm.nih.gov/nuccore/MH367295.1	Wang L, Zhang S, Li JH, et al. Mitochondrial genome, comparative analysis and evolutionary insights into the entomopathogenic fungus Hirsutella thompsonii. Environ Microbiol. 2018,20(9):3393-3405.	https://doi.org/10.1111/1462-2920.14379	 --
Hirsutella vermicola	AS3.7877	OpHvAS3.7877	NC_036610.1	53793	25.27	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_036610.1	Zhang YJ, Zhang HY, Liu XZ, et al. Mitochondrial genome of the nematode endoparasitic fungus Hirsutella vermicola reveals a high level of synteny in the family Ophiocordycipitaceae. Appl Microbiol Biotechnol. 2017,101(8):3295-3304.	https://link.springer.com/article/10.1007/s00253-017-8257-x	 --
Ophiocordyceps camponoti-floridani	EC05	OpOcEC05	CM022976.1	272497	27.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM022976.1	Will I, Das B, Trinh T, et al. Genetic Underpinnings of Host Manipulation by Ophiocordyceps as Revealed by Comparative Transcriptomics. G3 (Bethesda). 2020,10(7):2275-2296.	https://doi.org/10.1534/g3.120.401290	 --
